__UUID4__;db0c0e01-a78f-4b9a-a535-142c254cdd0c
__CREATED-ON__;2021-02-19 18:25:46.931292
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2021-02-19 18:25:46.931292;;;SERIAL-PORT;COM6
INFO;2021-02-19 18:25:46.931292;;;PROTOCOL-NAME;gamble_task_recording
INFO;2021-02-19 18:25:46.931292;;;CREATOR-NAME;["test_user", "cafe7c27-8641-446c-ac05-7872679683e7", "local"]
INFO;2021-02-19 18:25:46.931292;;;PROJECT-NAME;maxland_TRAINING01
INFO;2021-02-19 18:25:46.932292;;;EXPERIMENT-NAME;gamble_task
INFO;2021-02-19 18:25:46.932292;;;BOARD-NAME;board_TRAINING01
INFO;2021-02-19 18:25:46.932292;;;SETUP-NAME;gamble_task_recording
INFO;2021-02-19 18:25:46.932292;;;BPOD-GUI-VERSION;
INFO;2021-02-19 18:25:46.932292;;;NET-PORT;36000
INFO;2021-02-19 18:25:46.932292;;;SUBJECT-NAME;['test_subject', 'c0b81ebe-3917-4eb3-b037-d482f4a1b719']
INFO;2021-02-19 18:25:47.383325;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2021-02-19 18:25:47.383325;;;BPOD-API-VERSION;1.8.2
INFO;2021-02-19 18:25:47.383325;;;SESSION-NAME;20210219-182546
INFO;2021-02-19 18:25:47.383325;;;SESSION-STARTED;2021-02-19 18:25:46.931292
TRIAL;2021-02-19 18:25:51.795384;;;New trial;
SOFTCODE;2021-02-19 18:25:51.801388;;;5;
EVENT;2021-02-19 18:25:53.801533;2.0;;158;Tup
TRANSITION;2021-02-19 18:25:53.801533;2.0;;sync_state_1;
EVENT;2021-02-19 18:25:53.801533;2.0001;;158;Tup
TRANSITION;2021-02-19 18:25:53.801533;2.0001;;reset_rotary_encoder_wheel_stopping_check;
EVENT;2021-02-19 18:25:53.802533;2.0002;;158;Tup
TRANSITION;2021-02-19 18:25:53.802533;2.0002;;wheel_stopping_check;
EVENT;2021-02-19 18:25:54.801606;3.0002;;158;Tup
TRANSITION;2021-02-19 18:25:54.801606;3.0002;;present_stim;
SOFTCODE;2021-02-19 18:25:54.801606;;;1;
EVENT;2021-02-19 18:25:54.802607;3.0003;;158;Tup
TRANSITION;2021-02-19 18:25:54.802607;3.0003;;sync_state_2;
EVENT;2021-02-19 18:25:54.802607;3.0004;;158;Tup
TRANSITION;2021-02-19 18:25:54.802607;3.0004;;reset_rotary_encoder_open_loop;
EVENT;2021-02-19 18:25:54.802607;3.0005;;158;Tup
